username,nis,class,major
Hallie,1685247273684,PH,Aruba
Pollyanna,1685247273684,JE,Montserrat
Gianina,1685247273684,BZ,India
Aubrie,1685247273684,MV,Kiribati
Carree,1685247273684,GD,Latvia
Carol-Jean,1685247273684,PK,Samoa
Audrie,1685247273684,AM,Cameroon
Peri,1685247273684,LC,Netherlands
Randa,1685247273684,JO,Italy
Joane,1685247273684,KH,Spain
Dorothy,1685247273684,IE,Portugal
Donetta,1685247273684,LC,Bolivia
Gerianna,1685247273684,LY,Nauru
Averyl,1685247273684,GN,Peru
Willetta,1685247273684,VC,Norfolk Island
Courtnay,1685247273684,GS,Holy See (Vatican City State)
Angela,1685247273684,FK,Germany
Annecorinne,1685247273684,YE,Saudi Arabia
Harmonia,1685247273684,UA,Timor-Leste
Perry,1685247273684,SJ,Austria
Danny,1685247273684,LS,Trinidad and Tobago
Fanchon,1685247273684,MQ,Madagascar
Norine,1685247273684,MH,Mexico
Randa,1685247273684,TF,Chad
Paule,1685247273684,AM,"Moldova, Republic of"
Karlee,1685247273684,TN,Mauritius
Therine,1685247273684,PF,United Kingdom
Eugine,1685247273684,KE,British Indian Ocean Territory
Debee,1685247273684,GT,Kenya
Glynnis,1685247273684,KZ,Mauritania
Josephine,1685247273684,QA,Comoros
Danny,1685247273684,HR,Russian Federation
Carolina,1685247273684,HN,Angola
Rosanne,1685247273684,TK,San Marino
Karly,1685247273684,NG,Lithuania
Shaine,1685247273684,MC,Lesotho
Mara,1685247273684,CK,Haiti
Helena,1685247273684,PS,Saudi Arabia
Carmencita,1685247273684,TT,French Southern Territories
Hettie,1685247273684,BD,Myanmar
Marsiella,1685247273684,SN,Saint Lucia
Janeczka,1685247273684,PM,Slovakia
Nataline,1685247273684,IO,Gambia
Sissy,1685247273684,LV,New Caledonia
Susan,1685247273684,TH,Turkey
Delilah,1685247273684,TR,Myanmar
Augustine,1685247273684,SO,Liechtenstein
Trixi,1685247273684,NZ,Nepal
Debee,1685247273684,TG,Togo
Wynne,1685247273684,NZ,French Polynesia
