nis,username,class,major
1685919690659,Ilse,11A,IPS
1685919690700,Tressa,11A,IPS
1685919690664,Viviene,11C,IPA
1685919690675,Hayley,11C,Bahasa
1685919690741,Glynnis,11B,IPA
1685919690753,Janenna,11C,Bahasa
1685919690664,Fawne,11B,Bahasa
1685919690716,Mara,11C,Bahasa
1685919690680,Latisha,11C,Bahasa
1685919690745,Goldie,11A,IPS
1685919690670,Dorothy,11A,IPA
1685919690726,Goldie,11C,IPA
1685919690752,Beatriz,11A,Bahasa
1685919690691,Ilse,11A,IPS
1685919690674,Dorice,11C,Bahasa
1685919690721,Aaren,11A,IPS
1685919690691,Damaris,11C,IPA
1685919690667,Theodora,11B,IPS
1685919690670,Ulrike,11A,Bahasa
1685919690712,Jillayne,11C,IPS
1685919690704,Laurene,11B,IPA
1685919690720,Agathe,11C,IPS
1685919690736,Katuscha,11C,IPA
1685919690743,Ileana,11C,IPA
1685919690735,Maurene,11C,IPA
1685919690732,Annecorinne,11C,Bahasa
1685919690749,Elie,11A,IPS
1685919690694,Dagmar,11A,IPA
1685919690683,Desirae,11A,IPS
1685919690751,Hyacinthe,11A,IPA
1685919690731,Codie,11A,IPS
1685919690728,Ann-Marie,11B,IPS
1685919690726,Atlanta,11C,Bahasa
1685919690684,Lisette,11A,Bahasa
1685919690686,Melanie,11B,IPS
1685919690745,Tiffie,11C,IPA
1685919690713,Cyb,11A,Bahasa
1685919690707,Loree,11A,Bahasa
1685919690667,Letizia,11B,IPA
1685919690739,Elka,11A,IPA
1685919690705,Rozele,11B,IPS
1685919690742,Tatiania,11C,IPS
1685919690720,Minda,11A,IPA
1685919690683,Aurelie,11B,IPS
1685919690695,Mignon,11B,Bahasa
1685919690737,Collen,11A,IPA
1685919690659,Lesly,11A,Bahasa
1685919690687,Dagmar,11A,Bahasa
1685919690715,Jessy,11B,IPS
1685919690748,Cacilie,11B,IPA
1685919690708,Joy,11A,Bahasa
1685919690664,Jaime,11C,IPA
1685919690669,Lilith,11C,IPS
1685919690682,Jere,11A,Bahasa
1685919690752,Ernesta,11A,Bahasa
1685919690660,Celene,11C,IPA
1685919690755,Katleen,11A,IPS
1685919690681,Lorie,11B,IPS
1685919690694,Brynna,11C,IPS
1685919690709,Phylis,11B,Bahasa
1685919690671,Iseabal,11B,Bahasa
1685919690720,Meg,11C,IPA
1685919690692,Rosabelle,11C,Bahasa
1685919690715,Lita,11B,IPA
1685919690728,Vevay,11C,Bahasa
1685919690666,Glynnis,11C,Bahasa
1685919690668,Teriann,11B,Bahasa
1685919690683,Emmey,11B,IPA
1685919690673,Kial,11A,IPS
1685919690727,Minda,11C,Bahasa
1685919690678,Stevana,11B,IPS
1685919690699,Sashenka,11C,IPA
1685919690688,Cissiee,11A,IPS
1685919690699,Vinita,11A,IPS
1685919690750,Arabel,11A,IPA
1685919690721,Melanie,11C,IPS
1685919690712,Courtnay,11C,Bahasa
1685919690663,Beverley,11B,IPA
1685919690685,Rosanne,11C,IPA
1685919690681,Madelle,11C,IPA
1685919690667,Vere,11C,IPA
1685919690706,Kimmy,11A,IPS
1685919690735,Cyndie,11C,IPA
1685919690740,Ezmeralda,11A,IPS
1685919690664,Carolina,11B,Bahasa
1685919690677,Maryellen,11A,IPS
1685919690745,Dorthy,11B,IPA
1685919690733,Tilly,11B,IPS
1685919690720,Katleen,11B,Bahasa
1685919690749,Gratia,11A,IPS
1685919690706,Bibby,11B,IPS
1685919690662,Marita,11A,IPA
1685919690689,Elfreda,11A,IPS
1685919690734,Farrah,11C,IPS
1685919690733,Florencia,11C,IPS
1685919690672,Pamella,11C,IPS
1685919690687,Lynea,11A,IPA
1685919690660,Harmonia,11B,Bahasa
1685919690691,Cherilyn,11C,IPA
1685919690698,Kerrin,11C,IPA
