firstname,nis,class,major
Roz,1685247257894,BG,Canada
Tiffie,1685247257894,BH,Cameroon
Corry,1685247257894,LY,Azerbaijan
Zaria,1685247257894,CR,United Kingdom
Annaliese,1685247257894,BW,Brunei Darussalam
Nikki,1685247257894,EE,Ireland
Orelia,1685247257894,BA,Fiji
Michaelina,1685247257894,AR,Ukraine
Allyce,1685247257894,HK,Belarus
Addia,1685247257895,NL,Svalbard and Jan Mayen
Dale,1685247257895,GN,Holy See (Vatican City State)
Inga,1685247257895,CH,Cook Islands
Vere,1685247257895,HR,Cape Verde
Hermione,1685247257895,MN,Cuba
Petronia,1685247257895,GE,"Virgin Islands, U.S."
Corry,1685247257895,GM,Iceland
Millie,1685247257895,EG,Bangladesh
Zondra,1685247257895,JM,Samoa
Molli,1685247257895,AT,Honduras
Beth,1685247257895,NZ,Brunei Darussalam
Hildegaard,1685247257895,IR,Bahrain
Alyda,1685247257895,SG,Egypt
Corene,1685247257895,MA,Guernsey
Goldie,1685247257895,SY,Madagascar
Penelopa,1685247257895,KI,Jordan
Andree,1685247257895,FI,San Marino
Stephanie,1685247257895,BZ,"Korea, Democratic People""S Republic of"
Ezmeralda,1685247257895,VE,Norway
Jasmina,1685247257895,AZ,Netherlands
Vanessa,1685247257895,TC,"Cote D""Ivoire"
Shel,1685247257895,SV,South Georgia and the South Sandwich Islands
Kirbee,1685247257895,KN,New Caledonia
Marnia,1685247257895,CF,Slovenia
Lila,1685247257895,MA,Martinique
Juliane,1685247257895,LR,Gabon
Abbie,1685247257895,SC,"Micronesia, Federated States of"
Alejandra,1685247257895,BO,Serbia and Montenegro
Tierney,1685247257895,MM,Nepal
Bettine,1685247257895,RU,Serbia and Montenegro
Carmela,1685247257895,AF,Indonesia
Aurore,1685247257895,TH,Estonia
Kelly,1685247257895,TO,Chile
Maryellen,1685247257895,VC,Liberia
Bobbi,1685247257895,CF,Guinea
Elmira,1685247257895,BS,Cape Verde
Janey,1685247257895,CV,China
Oralee,1685247257895,FO,Luxembourg
Kellen,1685247257895,MM,Pakistan
Jean,1685247257895,MQ,Cyprus
Nadine,1685247257895,ML,Italy
